top_category	rel_path	file_name	stem	data_block	chemical_name_common	chemical_name_mineral	chemical_name_systematic	chemical_formula_sum	search_key
MetalsAlloysOxides	MetalsAlloysOxides/Ti-hcp.cif	Ti-hcp.cif	Ti-hcp	Ti_ccp	Ti-ccp			Ti	ti-hcp | ti_ccp | ti-ccp | ti | metalsalloysoxides | metalsalloysoxides/ti-hcp.cif
MetalsAlloysOxides	MetalsAlloysOxides/TiVAl-ccp.cif	TiVAl-ccp.cif	TiVAl-ccp	TiVAl_ccp	TiVAl-ccp			Ti0.76 V0.18 Al0.06	tival-ccp | tival_ccp | tival-ccp | ti0.76 v0.18 al0.06 | metalsalloysoxides | metalsalloysoxides/tival-ccp.cif
MetalsAlloysOxides	MetalsAlloysOxides/TiVAl-hcp.cif	TiVAl-hcp.cif	TiVAl-hcp	TiVAl_hcp	TiVAl-hcp			Ti0.862 V0.036 Al0.102	tival-hcp | tival_hcp | tival-hcp | ti0.862 v0.036 al0.102 | metalsalloysoxides | metalsalloysoxides/tival-hcp.cif
MetalsAlloysOxides	MetalsAlloysOxides/YFe2O4.cif	YFe2O4.cif	YFe2O4	YttriumIronOxide	YttriumIronOxide			Y Fe2 O4	yfe2o4 | yttriumironoxide | yttriumironoxide | y fe2 o4 | metalsalloysoxides | metalsalloysoxides/yfe2o4.cif
MetalsAlloysOxides	MetalsAlloysOxides/Zn.cif	Zn.cif	Zn	Zinc	Zinc			Zn	zn | zinc | zinc | zn | metalsalloysoxides | metalsalloysoxides/zn.cif
Minerals	Minerals/Akermanite.cif	Akermanite.cif	Akermanite	Akermanite	Akermanite			Ca2 Mg O7 Si2	akermanite | akermanite | akermanite | ca2 mg o7 si2 | minerals | minerals/akermanite.cif
Minerals	Minerals/Albite.cif	Albite.cif	Albite	Albite	Albite			Na Al Si3 O8	albite | albite | albite | na al si3 o8 | minerals | minerals/albite.cif
Minerals	Minerals/Anatase.cif	Anatase.cif	Anatase	Anatase	Anatase			Ti O2	anatase | anatase | anatase | ti o2 | minerals | minerals/anatase.cif
Minerals	Minerals/Andalusite.cif	Andalusite.cif	Andalusite	Andalusite	Andalusite			Al2 ( Si O4 ) O	andalusite | andalusite | andalusite | al2 ( si o4 ) o | minerals | minerals/andalusite.cif
Minerals	Minerals/Anhydrite.cif	Anhydrite.cif	Anhydrite	Anhydrite	Anhydrite			Ca (SO4)	anhydrite | anhydrite | anhydrite | ca (so4) | minerals | minerals/anhydrite.cif
Minerals	Minerals/Aragonite.cif	Aragonite.cif	Aragonite	Aragonite	Aragonite			Ca (CO3)	aragonite | aragonite | aragonite | ca (co3) | minerals | minerals/aragonite.cif
Minerals	Minerals/Arcanite.cif	Arcanite.cif	Arcanite	K2SO4	K2SO4			K2 (SO4)	arcanite | k2so4 | k2so4 | k2 (so4) | minerals | minerals/arcanite.cif
Minerals	Minerals/Ardealite.cif	Ardealite.cif	Ardealite	Ardealite	Ardealite			Ca2 H (PO4) (SO4) (H2O)4	ardealite | ardealite | ardealite | ca2 h (po4) (so4) (h2o)4 | minerals | minerals/ardealite.cif
Minerals	Minerals/Bassanite.cif	Bassanite.cif	Bassanite	Bassanite	Bassanite			Ca2 (SO4)2 (H2O)	bassanite | bassanite | bassanite | ca2 (so4)2 (h2o) | minerals | minerals/bassanite.cif
Minerals	Minerals/Biotite1M.cif	Biotite1M.cif	Biotite1M	Biotite_M	Biotite_M			?	biotite1m | biotite_m | biotite_m | ? | minerals | minerals/biotite1m.cif
Minerals	Minerals/Brownmillerite.cif	Brownmillerite.cif	Brownmillerite	Brownmillerite	Brownmillerite			Ca2 Fe2 O5	brownmillerite | brownmillerite | brownmillerite | ca2 fe2 o5 | minerals | minerals/brownmillerite.cif
Minerals	Minerals/Calcioolivine.cif	Calcioolivine.cif	Calcioolivine	Calcioolivine	Calcioolivine			Ca2 O4 Si	calcioolivine | calcioolivine | calcioolivine | ca2 o4 si | minerals | minerals/calcioolivine.cif
Minerals	Minerals/Calcite.cif	Calcite.cif	Calcite	Calcite	Calcite			Ca (CO3)	calcite | calcite | calcite | ca (co3) | minerals | minerals/calcite.cif
Minerals	Minerals/Chamosite.cif	Chamosite.cif	Chamosite	Chamosite	Chamosite			Mg1.3 Fe3.4 Al2.6 Si2.7 O10 ( O H )8	chamosite | chamosite | chamosite | mg1.3 fe3.4 al2.6 si2.7 o10 ( o h )8 | minerals | minerals/chamosite.cif
Minerals	Minerals/Chromatite.cif	Chromatite.cif	Chromatite	CaCrO4	CaCrO4			Ca ( Cr O4 )	chromatite | cacro4 | cacro4 | ca ( cr o4 ) | minerals | minerals/chromatite.cif
Minerals	Minerals/Clinoatacamite.cif	Clinoatacamite.cif	Clinoatacamite	Clinoatacamite	Clinoatacamite			Cu2 Cl ( O H )3	clinoatacamite | clinoatacamite | clinoatacamite | cu2 cl ( o h )3 | minerals | minerals/clinoatacamite.cif
Minerals	Minerals/Clinochlore-2A.cif	Clinochlore-2A.cif	Clinochlore-2A	MagnesiumSilicateHydroxide	MagnesiumSilicateHydroxide			Mg6 ( Si4 O10 ) ( O H )8	clinochlore-2a | magnesiumsilicatehydroxide | magnesiumsilicatehydroxide | mg6 ( si4 o10 ) ( o h )8 | minerals | minerals/clinochlore-2a.cif
Minerals	Minerals/Clinochlore1A.cif	Clinochlore1A.cif	Clinochlore1A	Clinochlore1A	Clinochlore1A			Mg4.75 Fe0.30 Al2.02 Si2.94 O10 ( O H )7.91 F0.09	clinochlore1a | clinochlore1a | clinochlore1a | mg4.75 fe0.30 al2.02 si2.94 o10 ( o h )7.91 f0.09 | minerals | minerals/clinochlore1a.cif
Minerals	Minerals/Collinsite_COD_9009927.cif	Collinsite_COD_9009927.cif	Collinsite_COD_9009927	Collinsite	Collinsite			Ca2 H4 Mg O10 P2	collinsite_cod_9009927 | collinsite | collinsite | ca2 h4 mg o10 p2 | minerals | minerals/collinsite_cod_9009927.cif
Minerals	Minerals/Corundum.cif	Corundum.cif	Corundum	Corundum	Corundum			Al2 O3	corundum | corundum | corundum | al2 o3 | minerals | minerals/corundum.cif
Minerals	Minerals/Cristobalite.cif	Cristobalite.cif	Cristobalite	Cristobalite	Cristobalite			Si O2	cristobalite | cristobalite | cristobalite | si o2 | minerals | minerals/cristobalite.cif
Minerals	Minerals/Cronstedtite2H2.cif	Cronstedtite2H2.cif	Cronstedtite2H2	Cronstedtite2H2	Cronstedtite2H2			Fe3.7 Si1.3 O5 ( O H )4	cronstedtite2h2 | cronstedtite2h2 | cronstedtite2h2 | fe3.7 si1.3 o5 ( o h )4 | minerals | minerals/cronstedtite2h2.cif
Minerals	Minerals/CSA-ASTM-F-2224-2009r2020-ref.cif	CSA-ASTM-F-2224-2009r2020-ref.cif	CSA-ASTM-F-2224-2009r2020-ref	CalciumSulfateAnhydrate	CalciumSulfateAnhydrate			Ca S O4	csa-astm-f-2224-2009r2020-ref | calciumsulfateanhydrate | calciumsulfateanhydrate | ca s o4 | minerals | minerals/csa-astm-f-2224-2009r2020-ref.cif
Minerals	Minerals/CSD-ASTM-F-2224-2009r2020-ref.cif	CSD-ASTM-F-2224-2009r2020-ref.cif	CSD-ASTM-F-2224-2009r2020-ref	CalciumSulfateDihydrate	CalciumSulfateDihydrate			Ca S O4 ·2 H2 O	csd-astm-f-2224-2009r2020-ref | calciumsulfatedihydrate | calciumsulfatedihydrate | ca s o4 ·2 h2 o | minerals | minerals/csd-astm-f-2224-2009r2020-ref.cif
Minerals	Minerals/CSH-ASTM-F-2224-2009r2020-ref.cif	CSH-ASTM-F-2224-2009r2020-ref.cif	CSH-ASTM-F-2224-2009r2020-ref	CalciumSulfateHemihydrate	CalciumSulfateHemihydrate			Ca S O4 ·0.5 H2 O	csh-astm-f-2224-2009r2020-ref | calciumsulfatehemihydrate | calciumsulfatehemihydrate | ca s o4 ·0.5 h2 o | minerals | minerals/csh-astm-f-2224-2009r2020-ref.cif
Minerals	Minerals/Diamond.cif	Diamond.cif	Diamond	Diamondsyn	Diamondsyn			C	diamond | diamondsyn | diamondsyn | c | minerals | minerals/diamond.cif
Minerals	Minerals/Dolomite.cif	Dolomite.cif	Dolomite	Dolomite	Dolomite			Ca Mg (CO3)2	dolomite | dolomite | dolomite | ca mg (co3)2 | minerals | minerals/dolomite.cif
Minerals	Minerals/Doyleite.cif	Doyleite.cif	Doyleite	Doyleite	Doyleite			Al (OH)3	doyleite | doyleite | doyleite | al (oh)3 | minerals | minerals/doyleite.cif
Minerals	Minerals/EnstatiteMg06Fe04.cif	EnstatiteMg06Fe04.cif	EnstatiteMg06Fe04	EnstatiteMg06Fe04	EnstatiteMg06Fe04			Fe0.41 Mg0.59 O3 Si	enstatitemg06fe04 | enstatitemg06fe04 | enstatitemg06fe04 | fe0.41 mg0.59 o3 si | minerals | minerals/enstatitemg06fe04.cif
Minerals	Minerals/EnstatiteMg06Fe04Ca.cif	EnstatiteMg06Fe04Ca.cif	EnstatiteMg06Fe04Ca	EnstatiteMg06Fe04Ca	EnstatiteMg06Fe04Ca			Ca0.043 Fe0.807 Mg1.15 O6 Si2	enstatitemg06fe04ca | enstatitemg06fe04ca | enstatitemg06fe04ca | ca0.043 fe0.807 mg1.15 o6 si2 | minerals | minerals/enstatitemg06fe04ca.cif
Minerals	Minerals/EnstatiteMg075Fe025.cif	EnstatiteMg075Fe025.cif	EnstatiteMg075Fe025	EnstatiteMg075Fe025	EnstatiteMg075Fe025			Fe0.249 Mg0.751 O3 Si	enstatitemg075fe025 | enstatitemg075fe025 | enstatitemg075fe025 | fe0.249 mg0.751 o3 si | minerals | minerals/enstatitemg075fe025.cif
Minerals	Minerals/EnstatiteMg09Fe01.cif	EnstatiteMg09Fe01.cif	EnstatiteMg09Fe01	EnstatiteMg09Fe01	EnstatiteMg09Fe01			Fe0.093 Mg0.908 O3 Si	enstatitemg09fe01 | enstatitemg09fe01 | enstatitemg09fe01 | fe0.093 mg0.908 o3 si | minerals | minerals/enstatitemg09fe01.cif
Minerals	Minerals/Ettringite.cif	Ettringite.cif	Ettringite	Ettringite	Ettringite			Ca6 Al2 (SO4)3 (OH)12 (H2O)26	ettringite | ettringite | ettringite | ca6 al2 (so4)3 (oh)12 (h2o)26 | minerals | minerals/ettringite.cif
Minerals	Minerals/Faujasite-K.cif	Faujasite-K.cif	Faujasite-K	FaujasiteK	FaujasiteK			Al34.9 K34.9 O390.8 Si157.1	faujasite-k | faujasitek | faujasitek | al34.9 k34.9 o390.8 si157.1 | minerals | minerals/faujasite-k.cif
Minerals	Minerals/Fayalite.cif	Fayalite.cif	Fayalite	Fayalite	Fayalite			Fe2 Si O4	fayalite | fayalite | fayalite | fe2 si o4 | minerals | minerals/fayalite.cif
Minerals	Minerals/FerrihydriteFe475.cif	FerrihydriteFe475.cif	FerrihydriteFe475	FerrihydriteFe475	FerrihydriteFe475			Fe4.75 H O8	ferrihydritefe475 | ferrihydritefe475 | ferrihydritefe475 | fe4.75 h o8 | minerals | minerals/ferrihydritefe475.cif
Minerals	Minerals/FerrihydriteFe487.cif	FerrihydriteFe487.cif	FerrihydriteFe487	FerrihydriteFe487	FerrihydriteFe487			Fe4.87 H O8	ferrihydritefe487 | ferrihydritefe487 | ferrihydritefe487 | fe4.87 h o8 | minerals | minerals/ferrihydritefe487.cif
Minerals	Minerals/FerrihydriteFe493.cif	FerrihydriteFe493.cif	FerrihydriteFe493	FerrihydriteFe493	FerrihydriteFe493			Fe4.93 H O8	ferrihydritefe493 | ferrihydritefe493 | ferrihydritefe493 | fe4.93 h o8 | minerals | minerals/ferrihydritefe493.cif
Minerals	Minerals/FerrosiliteCa03Fe17.cif	FerrosiliteCa03Fe17.cif	FerrosiliteCa03Fe17	FerrosiliteCa03Fe17	FerrosiliteCa03Fe17			Ca0.3 Fe1.7 O6 Si2	ferrosiliteca03fe17 | ferrosiliteca03fe17 | ferrosiliteca03fe17 | ca0.3 fe1.7 o6 si2 | minerals | minerals/ferrosiliteca03fe17.cif
Minerals	Minerals/FerrosiliteCa04Fe16.cif	FerrosiliteCa04Fe16.cif	FerrosiliteCa04Fe16	FerrosiliteCa04Fe16	FerrosiliteCa04Fe16			Ca0.4 Fe1.6 O6 Si2	ferrosiliteca04fe16 | ferrosiliteca04fe16 | ferrosiliteca04fe16 | ca0.4 fe1.6 o6 si2 | minerals | minerals/ferrosiliteca04fe16.cif
Minerals	Minerals/FerrosiliteCa05Fe15.cif	FerrosiliteCa05Fe15.cif	FerrosiliteCa05Fe15	FerrosiliteCa05Fe15	FerrosiliteCa05Fe15			Ca0.5 Fe1.5 O6 Si2	ferrosiliteca05fe15 | ferrosiliteca05fe15 | ferrosiliteca05fe15 | ca0.5 fe1.5 o6 si2 | minerals | minerals/ferrosiliteca05fe15.cif
Minerals	Minerals/FerrosiliteCa07Fe13.cif	FerrosiliteCa07Fe13.cif	FerrosiliteCa07Fe13	FerrosiliteCa07Fe13	FerrosiliteCa07Fe13			Ca0.7 Fe1.3 O6 Si2	ferrosiliteca07fe13 | ferrosiliteca07fe13 | ferrosiliteca07fe13 | ca0.7 fe1.3 o6 si2 | minerals | minerals/ferrosiliteca07fe13.cif
Minerals	Minerals/FerrosiliteFe.cif	FerrosiliteFe.cif	FerrosiliteFe	FerrosiliteFe	FerrosiliteFe			Fe O3 Si	ferrosilitefe | ferrosilitefe | ferrosilitefe | fe o3 si | minerals | minerals/ferrosilitefe.cif
Minerals	Minerals/FerrosiliteMg06Fe13Ca.cif	FerrosiliteMg06Fe13Ca.cif	FerrosiliteMg06Fe13Ca	FerrosiliteMg06Fe13Ca	FerrosiliteMg06Fe13Ca			Ca0.032 Fe1.331 Mg0.636 O6 Si2	ferrosilitemg06fe13ca | ferrosilitemg06fe13ca | ferrosilitemg06fe13ca | ca0.032 fe1.331 mg0.636 o6 si2 | minerals | minerals/ferrosilitemg06fe13ca.cif
Minerals	Minerals/Fluorite.cif	Fluorite.cif	Fluorite	Fluorite	Fluorite			Ca F2	fluorite | fluorite | fluorite | ca f2 | minerals | minerals/fluorite.cif
Minerals	Minerals/Fluorstrophite.cif	Fluorstrophite.cif	Fluorstrophite	Fluorstrophite	Fluorstrophite			Sr3.65 Ca1.35 ( P O4 )3 F	fluorstrophite | fluorstrophite | fluorstrophite | sr3.65 ca1.35 ( p o4 )3 f | minerals | minerals/fluorstrophite.cif
Minerals	Minerals/Forsterite.cif	Forsterite.cif	Forsterite	Forsterite	Forsterite			Mg2 Si O4	forsterite | forsterite | forsterite | mg2 si o4 | minerals | minerals/forsterite.cif
Minerals	Minerals/Ganophyllite.cif	Ganophyllite.cif	Ganophyllite	Ganophyllite	Ganophyllite			K2.16 Mn16 Si26.9 O67.8 OH8	ganophyllite | ganophyllite | ganophyllite | k2.16 mn16 si26.9 o67.8 oh8 | minerals | minerals/ganophyllite.cif
Minerals	Minerals/Gehlenite.cif	Gehlenite.cif	Gehlenite	Gehlenite	Gehlenite			Al2 Ca2 O7 Si	gehlenite | gehlenite | gehlenite | al2 ca2 o7 si | minerals | minerals/gehlenite.cif
Minerals	Minerals/Gibbsite.cif	Gibbsite.cif	Gibbsite	Gibbsite	Gibbsite			Al ( O H )3	gibbsite | gibbsite | gibbsite | al ( o h )3 | minerals | minerals/gibbsite.cif
Minerals	Minerals/Gismondine-Ca.cif	Gismondine-Ca.cif	Gismondine-Ca	CalciumAluminumSilicateHydrate	CalciumAluminumSilicateHydrate			Ca4 Al8 ( Si O4 )8 ( H2 O )16	gismondine-ca | calciumaluminumsilicatehydrate | calciumaluminumsilicatehydrate | ca4 al8 ( si o4 )8 ( h2 o )16 | minerals | minerals/gismondine-ca.cif
Minerals	Minerals/Glauconite.cif	Glauconite.cif	Glauconite	Glauconite	Glauconite			K0.84 Na0.01 Mg0.38 Fe1.22 Al0.71 Si3.72 O10 ( O H )2	glauconite | glauconite | glauconite | k0.84 na0.01 mg0.38 fe1.22 al0.71 si3.72 o10 ( o h )2 | minerals | minerals/glauconite.cif
Minerals	Minerals/GlauconiteK77.cif	GlauconiteK77.cif	GlauconiteK77	GlauconiteK77	GlauconiteK77			K0.77 Na0.03 Mg0.47 Fe1.14 Al0.72 Si3.72 O10 ( O H )2	glauconitek77 | glauconitek77 | glauconitek77 | k0.77 na0.03 mg0.47 fe1.14 al0.72 si3.72 o10 ( o h )2 | minerals | minerals/glauconitek77.cif
Minerals	Minerals/GlauconiteK80.cif	GlauconiteK80.cif	GlauconiteK80	GlauconiteK80	GlauconiteK80			K0.8 Na0.01 Ca0.03 Mg0.44 Fe1.08 Al0.97 Si3.56 O10 ( O H )2	glauconitek80 | glauconitek80 | glauconitek80 | k0.8 na0.01 ca0.03 mg0.44 fe1.08 al0.97 si3.56 o10 ( o h )2 | minerals | minerals/glauconitek80.cif
Minerals	Minerals/GlauconiteK84.cif	GlauconiteK84.cif	GlauconiteK84	GlauconiteK84	GlauconiteK84			K0.84 Na0.01 Mg0.38 Fe1.22 Al0.71 Si3.72 O10 ( O H )2	glauconitek84 | glauconitek84 | glauconitek84 | k0.84 na0.01 mg0.38 fe1.22 al0.71 si3.72 o10 ( o h )2 | minerals | minerals/glauconitek84.cif
Minerals	Minerals/Goethite.cif	Goethite.cif	Goethite	FeOOH_Goethite	FeOOH_Goethite			Fe O (OH)	goethite | feooh_goethite | feooh_goethite | fe o (oh) | minerals | minerals/goethite.cif
Minerals	Minerals/Graphite-2h.cif	Graphite-2h.cif	Graphite-2h	Graphite_2H	Graphite-2H			C	graphite-2h | graphite_2h | graphite-2h | c | minerals | minerals/graphite-2h.cif
Minerals	Minerals/Graphite-3r.cif	Graphite-3r.cif	Graphite-3r	Graphite_3R	Graphite-3R			C	graphite-3r | graphite_3r | graphite-3r | c | minerals | minerals/graphite-3r.cif
Minerals	Minerals/Grossite-CaAl4O7.cif	Grossite-CaAl4O7.cif	Grossite-CaAl4O7	CalciumAluminumOxide	CalciumAluminumOxide			Ca Al4 O7	grossite-caal4o7 | calciumaluminumoxide | calciumaluminumoxide | ca al4 o7 | minerals | minerals/grossite-caal4o7.cif
Minerals	Minerals/Gypsum.cif	Gypsum.cif	Gypsum	Gypsum	Gypsum			Ca ( S O4 ) ( H2 O )2	gypsum | gypsum | gypsum | ca ( s o4 ) ( h2 o )2 | minerals | minerals/gypsum.cif
Minerals	Minerals/Gyrolite.cif	Gyrolite.cif	Gyrolite	Gyrolite	Gyrolite			Na Ca16 Al Si23 O60 (OH)8 (H2O)14	gyrolite | gyrolite | gyrolite | na ca16 al si23 o60 (oh)8 (h2o)14 | minerals | minerals/gyrolite.cif
Minerals	Minerals/Halite.cif	Halite.cif	Halite	Halite	Halite			NaCl	halite | halite | halite | nacl | minerals | minerals/halite.cif
Minerals	Minerals/Hematite.cif	Hematite.cif	Hematite	Hematite	Hematite			Fe2 O3	hematite | hematite | hematite | fe2 o3 | minerals | minerals/hematite.cif
Minerals	Minerals/Hexahydrite.cif	Hexahydrite.cif	Hexahydrite	Hexahydrite	Hexahydrite			H12 Mg O10 S	hexahydrite | hexahydrite | hexahydrite | h12 mg o10 s | minerals | minerals/hexahydrite.cif
Minerals	Minerals/Hibonite.cif	Hibonite.cif	Hibonite	Hibonite5H	Hibonite5H			Ca Al12 O19	hibonite | hibonite5h | hibonite5h | ca al12 o19 | minerals | minerals/hibonite.cif
Minerals	Minerals/Kaolinite1A.cif	Kaolinite1A.cif	Kaolinite1A	Kaolinite1A	Kaolinite1A			Al2 Si2 O5 ( O H )4	kaolinite1a | kaolinite1a | kaolinite1a | al2 si2 o5 ( o h )4 | minerals | minerals/kaolinite1a.cif
Minerals	Minerals/Katoite.cif	Katoite.cif	Katoite	Katoitesyn	Katoitesyn			Ca3 Al2 ( O H )12	katoite | katoitesyn | katoitesyn | ca3 al2 ( o h )12 | minerals | minerals/katoite.cif
Minerals	Minerals/Lepidocrocite.cif	Lepidocrocite.cif	Lepidocrocite	FeOOH_Lepidocrocite	FeOOH_Lepidocrocite			Fe O (OH)	lepidocrocite | feooh_lepidocrocite | feooh_lepidocrocite | fe o (oh) | minerals | minerals/lepidocrocite.cif
Minerals	Minerals/Leucite.cif	Leucite.cif	Leucite	Leucite	Leucite			K (Al0.96 Si0.04) (Si2 O6)	leucite | leucite | leucite | k (al0.96 si0.04) (si2 o6) | minerals | minerals/leucite.cif
Minerals	Minerals/Lime.cif	Lime.cif	Lime	CaO	CaO			Ca O	lime | cao | cao | ca o | minerals | minerals/lime.cif
Minerals	Minerals/Loellingite.cif	Loellingite.cif	Loellingite	Loellingite	Loellingite			Fe As2	loellingite | loellingite | loellingite | fe as2 | minerals | minerals/loellingite.cif
