top_category	rel_path	file_name	stem	data_block	chemical_name_common	chemical_name_mineral	chemical_name_systematic	chemical_formula_sum	search_key
.	amorphPeak.cif	amorphPeak.cif	amorphPeak	amorphPeak	amorphPeak			?	amorphpeak | amorphpeak | amorphpeak | ? | . | amorphpeak.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-alpha.cif	Al2O3-alpha.cif	Al2O3-alpha	alphaAl2O3	alphaAl2O3			Al2 O3	al2o3-alpha | alphaal2o3 | alphaal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-alpha.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-beta-Na.cif	Al2O3-beta-Na.cif	Al2O3-beta-Na	Sodium11aluminiumoxide	Sodium11aluminiumoxide			Al11 Na O17	al2o3-beta-na | sodium11aluminiumoxide | sodium11aluminiumoxide | al11 na o17 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-beta-na.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-delta-m.cif	Al2O3-delta-m.cif	Al2O3-delta-m	deltaAl2O3m	deltaAl2O3m			Al2 O3	al2o3-delta-m | deltaal2o3m | deltaal2o3m | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-delta-m.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-delta-o.cif	Al2O3-delta-o.cif	Al2O3-delta-o	deltaAl2O3o	deltaAl2O3o			Al2 O3	al2o3-delta-o | deltaal2o3o | deltaal2o3o | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-delta-o.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-gamma.cif	Al2O3-gamma.cif	Al2O3-gamma	gammaAl2O3	gammaAl2O3			Al2 O3	al2o3-gamma | gammaal2o3 | gammaal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-gamma.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-gamma-prime.cif	Al2O3-gamma-prime.cif	Al2O3-gamma-prime	gammapAl2O3	gammapAl2O3			Al2 O3	al2o3-gamma-prime | gammapal2o3 | gammapal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-gamma-prime.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-kappa.cif	Al2O3-kappa.cif	Al2O3-kappa	kappaAl2O3	kappaAl2O3			Al2 O3	al2o3-kappa | kappaal2o3 | kappaal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-kappa.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-Mg-beta-Na.cif	Al2O3-Mg-beta-Na.cif	Al2O3-Mg-beta-Na	MagnesiumAluminumOxideSodiumOxide	MagnesiumAluminumOxideSodiumOxide			( Al10.35 Mg0.65 O16 ) ( Na1.678 O )	al2o3-mg-beta-na | magnesiumaluminumoxidesodiumoxide | magnesiumaluminumoxidesodiumoxide | ( al10.35 mg0.65 o16 ) ( na1.678 o ) | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-mg-beta-na.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-Mg-beta-Na-2.cif	Al2O3-Mg-beta-Na-2.cif	Al2O3-Mg-beta-Na-2	SodiumMagnesiumAluminumOxide	SodiumMagnesiumAluminumOxide			Na1.67 Mg0.67 Al10.33 O17	al2o3-mg-beta-na-2 | sodiummagnesiumaluminumoxide | sodiummagnesiumaluminumoxide | na1.67 mg0.67 al10.33 o17 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-mg-beta-na-2.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2O3-theta.cif	Al2O3-theta.cif	Al2O3-theta	thetaAl2O3	thetaAl2O3			Al2 O3	al2o3-theta | thetaal2o3 | thetaal2o3 | al2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2o3-theta.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Al2Y4O9.cif	Al2Y4O9.cif	Al2Y4O9	Al2Y4O9	Al2Y4O9			Y4 Al2 O9	al2y4o9 | al2y4o9 | al2y4o9 | y4 al2 o9 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/al2y4o9.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/AlOOH.cif	AlOOH.cif	AlOOH	AluminumOxideHydroxide	AluminumOxideHydroxide			Al O ( O H )	alooh | aluminumoxidehydroxide | aluminumoxidehydroxide | al o ( o h ) | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/alooh.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/TiO2-Anatase.cif	TiO2-Anatase.cif	TiO2-Anatase	TiO2a	TiO2a			Ti O2	tio2-anatase | tio2a | tio2a | ti o2 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/tio2-anatase.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/TiO2-Rutile.cif	TiO2-Rutile.cif	TiO2-Rutile	TiO2r	TiO2r			Ti O2	tio2-rutile | tio2r | tio2r | ti o2 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/tio2-rutile.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Y-TZP-t.cif	Y-TZP-t.cif	Y-TZP-t	YTZPtetra	YTZPtetra			Y0.126 Zr0.874 O1.937	y-tzp-t | ytzptetra | ytzptetra | y0.126 zr0.874 o1.937 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/y-tzp-t.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/Y2O3.cif	Y2O3.cif	Y2O3	Y2O3	Y2O3			Y2 O3	y2o3 | y2o3 | y2o3 | y2 o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/y2o3.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/YAlO3.cif	YAlO3.cif	YAlO3	YAlO3	YAlO3			Y Al O3	yalo3 | yalo3 | yalo3 | y al o3 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/yalo3.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/YZrO2.cif	YZrO2.cif	YZrO2	YZrO2	YZrO2			Y0.133 Zr0.867 O1.934	yzro2 | yzro2 | yzro2 | y0.133 zr0.867 o1.934 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/yzro2.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/ZrO2-c.cif	ZrO2-c.cif	ZrO2-c	ZrO2cubic	ZrO2cubic			Zr O2	zro2-c | zro2cubic | zro2cubic | zr o2 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/zro2-c.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/ZrO2-m.cif	ZrO2-m.cif	ZrO2-m	ZrO2monoclinic	ZrO2monoclinic			Zr O2	zro2-m | zro2monoclinic | zro2monoclinic | zr o2 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/zro2-m.cif
Alumina-Titania-Zirconia-Yttria	Alumina-Titania-Zirconia-Yttria/ZrO2-t.cif	ZrO2-t.cif	ZrO2-t	ZrO2tetragonal	ZrO2tetragonal			Zr O2	zro2-t | zro2tetragonal | zro2tetragonal | zr o2 | alumina-titania-zirconia-yttria | alumina-titania-zirconia-yttria/zro2-t.cif
BGMN	BGMN/Actinolite.cif	Actinolite.cif	Actinolite	ACTINOLITE	ACTINOLITE			?	actinolite | actinolite | actinolite | ? | bgmn | bgmn/actinolite.cif
BGMN	BGMN/Aegirine.cif	Aegirine.cif	Aegirine	Aegirine	Aegirine			?	aegirine | aegirine | aegirine | ? | bgmn | bgmn/aegirine.cif
BGMN	BGMN/AKAGANEI.cif	AKAGANEI.cif	AKAGANEI	Akaganeite	Akaganeite			?	akaganei | akaganeite | akaganeite | ? | bgmn | bgmn/akaganei.cif
BGMN	BGMN/Akermanite.cif	Akermanite.cif	Akermanite	Akermanite	Akermanite			?	akermanite | akermanite | akermanite | ? | bgmn | bgmn/akermanite.cif
BGMN	BGMN/Al.cif	Al.cif	Al	Aluminum	Aluminum			?	al | aluminum | aluminum | ? | bgmn | bgmn/al.cif
BGMN	BGMN/ALBINT.cif	ALBINT.cif	ALBINT	Albite_intermediate	Albite_intermediate			?	albint | albite_intermediate | albite_intermediate | ? | bgmn | bgmn/albint.cif
BGMN	BGMN/Albite.cif	Albite.cif	Albite	Plagioclase_Albite	Plagioclase_Albite			?	albite | plagioclase_albite | plagioclase_albite | ? | bgmn | bgmn/albite.cif
BGMN	BGMN/ALF3.cif	ALF3.cif	ALF3	AlF3	AlF3			?	alf3 | alf3 | alf3 | ? | bgmn | bgmn/alf3.cif
BGMN	BGMN/ALFEO3.cif	ALFEO3.cif	ALFEO3	AlFeO3	AlFeO3			?	alfeo3 | alfeo3 | alfeo3 | ? | bgmn | bgmn/alfeo3.cif
BGMN	BGMN/Almandine.cif	Almandine.cif	Almandine	Almandine	Almandine			?	almandine | almandine | almandine | ? | bgmn | bgmn/almandine.cif
BGMN	BGMN/ALN.cif	ALN.cif	ALN	AlN_hex	AlN_hex			?	aln | aln_hex | aln_hex | ? | bgmn | bgmn/aln.cif
BGMN	BGMN/ALTIO5.cif	ALTIO5.cif	ALTIO5	AlTiO5	AlTiO5			?	altio5 | altio5 | altio5 | ? | bgmn | bgmn/altio5.cif
BGMN	BGMN/ALUMIGAM.cif	ALUMIGAM.cif	ALUMIGAM	Alumina_Gamma	Alumina_Gamma			?	alumigam | alumina_gamma | alumina_gamma | ? | bgmn | bgmn/alumigam.cif
BGMN	BGMN/ALUNITE.cif	ALUNITE.cif	ALUNITE	Alunite	Alunite			?	alunite | alunite | alunite | ? | bgmn | bgmn/alunite.cif
BGMN	BGMN/ALUNOGEN.cif	ALUNOGEN.cif	ALUNOGEN	Alunogen	Alunogen			?	alunogen | alunogen | alunogen | ? | bgmn | bgmn/alunogen.cif
BGMN	BGMN/Amesite.cif	Amesite.cif	Amesite	Amesite	Amesite			?	amesite | amesite | amesite | ? | bgmn | bgmn/amesite.cif
BGMN	BGMN/Analbite.cif	Analbite.cif	Analbite	Plagioclase_Analbite	Plagioclase_Analbite			?	analbite | plagioclase_analbite | plagioclase_analbite | ? | bgmn | bgmn/analbite.cif
BGMN	BGMN/ANALCIMC.cif	ANALCIMC.cif	ANALCIMC	Analcime_cubic	Analcime_cubic			?	analcimc | analcime_cubic | analcime_cubic | ? | bgmn | bgmn/analcimc.cif
BGMN	BGMN/ANATASE.cif	ANATASE.cif	ANATASE	ANATASE	ANATASE			?	anatase | anatase | anatase | ? | bgmn | bgmn/anatase.cif
BGMN	BGMN/Andalusite.cif	Andalusite.cif	Andalusite	ANDALUSITE	ANDALUSITE			?	andalusite | andalusite | andalusite | ? | bgmn | bgmn/andalusite.cif
BGMN	BGMN/Anglesite.cif	Anglesite.cif	Anglesite	Anglesite	Anglesite			?	anglesite | anglesite | anglesite | ? | bgmn | bgmn/anglesite.cif
BGMN	BGMN/Anhydrite.cif	Anhydrite.cif	Anhydrite	ANHYDRITE	ANHYDRITE			?	anhydrite | anhydrite | anhydrite | ? | bgmn | bgmn/anhydrite.cif
BGMN	BGMN/Ankerit02.cif	Ankerit02.cif	Ankerit02	Ankerite_Fe0_2	Ankerite_Fe0.2			?	ankerit02 | ankerite_fe0_2 | ankerite_fe0.2 | ? | bgmn | bgmn/ankerit02.cif
BGMN	BGMN/Ankerit05.cif	Ankerit05.cif	Ankerit05	Ankerite_Fe0_54	Ankerite_Fe0.54			?	ankerit05 | ankerite_fe0_54 | ankerite_fe0.54 | ? | bgmn | bgmn/ankerit05.cif
BGMN	BGMN/Ankerit07.cif	Ankerit07.cif	Ankerit07	Ankerite_Fe0_7	Ankerite_Fe0.7			?	ankerit07 | ankerite_fe0_7 | ankerite_fe0.7 | ? | bgmn | bgmn/ankerit07.cif
BGMN	BGMN/ANNITE.cif	ANNITE.cif	ANNITE	Annite	Annite			?	annite | annite | annite | ? | bgmn | bgmn/annite.cif
BGMN	BGMN/Anorthite.cif	Anorthite.cif	Anorthite	PLAGIOCLASE_ANORTHITE	PLAGIOCLASE_ANORTHITE			?	anorthite | plagioclase_anorthite | plagioclase_anorthite | ? | bgmn | bgmn/anorthite.cif
BGMN	BGMN/ANORTK15.cif	ANORTK15.cif	ANORTK15	Albite_high_K15	Albite_high_K15			?	anortk15 | albite_high_k15 | albite_high_k15 | ? | bgmn | bgmn/anortk15.cif
BGMN	BGMN/ANORTK25.cif	ANORTK25.cif	ANORTK25	Albite_high_K25	Albite_high_K25			?	anortk25 | albite_high_k25 | albite_high_k25 | ? | bgmn | bgmn/anortk25.cif
BGMN	BGMN/ANORTK33.cif	ANORTK33.cif	ANORTK33	Albite_high_K33	Albite_high_K33			?	anortk33 | albite_high_k33 | albite_high_k33 | ? | bgmn | bgmn/anortk33.cif
BGMN	BGMN/Anthracene.cif	Anthracene.cif	Anthracene	Anthracene	Anthracene			?	anthracene | anthracene | anthracene | ? | bgmn | bgmn/anthracene.cif
BGMN	BGMN/Aphthitalite.cif	Aphthitalite.cif	Aphthitalite	Aphthitalite	Aphthitalite			?	aphthitalite | aphthitalite | aphthitalite | ? | bgmn | bgmn/aphthitalite.cif
BGMN	BGMN/Aragonite.cif	Aragonite.cif	Aragonite	Aragonite	Aragonite			?	aragonite | aragonite | aragonite | ? | bgmn | bgmn/aragonite.cif
BGMN	BGMN/ARCANITE.cif	ARCANITE.cif	ARCANITE	Arcanite_K2SO4	Arcanite_K2SO4			?	arcanite | arcanite_k2so4 | arcanite_k2so4 | ? | bgmn | bgmn/arcanite.cif
BGMN	BGMN/ARSENIC.cif	ARSENIC.cif	ARSENIC	Arsenic	Arsenic			?	arsenic | arsenic | arsenic | ? | bgmn | bgmn/arsenic.cif
BGMN	BGMN/Arsenolite.cif	Arsenolite.cif	Arsenolite	Arsenolite	Arsenolite			?	arsenolite | arsenolite | arsenolite | ? | bgmn | bgmn/arsenolite.cif
BGMN	BGMN/Augite.cif	Augite.cif	Augite	Augite	Augite			?	augite | augite | augite | ? | bgmn | bgmn/augite.cif
BGMN	BGMN/AZURITE.cif	AZURITE.cif	AZURITE	Azurite	Azurite			?	azurite | azurite | azurite | ? | bgmn | bgmn/azurite.cif
BGMN	BGMN/Ba2ti9o20.cif	Ba2ti9o20.cif	Ba2ti9o20	Ba2Ti9O20	Ba2Ti9O20			?	ba2ti9o20 | ba2ti9o20 | ba2ti9o20 | ? | bgmn | bgmn/ba2ti9o20.cif
BGMN	BGMN/BA2TIO4.cif	BA2TIO4.cif	BA2TIO4	Ba2TiO4	Ba2TiO4			?	ba2tio4 | ba2tio4 | ba2tio4 | ? | bgmn | bgmn/ba2tio4.cif
BGMN	BGMN/BA6TI17O.cif	BA6TI17O.cif	BA6TI17O	Ba6Ti17O40	Ba6Ti17O40			?	ba6ti17o | ba6ti17o40 | ba6ti17o40 | ? | bgmn | bgmn/ba6ti17o.cif
BGMN	BGMN/BARITE.cif	BARITE.cif	BARITE	Barite	Barite			?	barite | barite | barite | ? | bgmn | bgmn/barite.cif
BGMN	BGMN/Bassanite.cif	Bassanite.cif	Bassanite	Bassanite	Bassanite			?	bassanite | bassanite | bassanite | ? | bgmn | bgmn/bassanite.cif
BGMN	BGMN/BATI2O5.cif	BATI2O5.cif	BATI2O5	BaTi2O5	BaTi2O5			?	bati2o5 | bati2o5 | bati2o5 | ? | bgmn | bgmn/bati2o5.cif
BGMN	BGMN/BATI4O9.cif	BATI4O9.cif	BATI4O9	BaTi4O9	BaTi4O9			?	bati4o9 | bati4o9 | bati4o9 | ? | bgmn | bgmn/bati4o9.cif
BGMN	BGMN/BaTi5O11.cif	BaTi5O11.cif	BaTi5O11	BaTi5O11	BaTi5O11			?	bati5o11 | bati5o11 | bati5o11 | ? | bgmn | bgmn/bati5o11.cif
BGMN	BGMN/BATIO3C.cif	BATIO3C.cif	BATIO3C	BaTiO3_cubic	BaTiO3_cubic			?	batio3c | batio3_cubic | batio3_cubic | ? | bgmn | bgmn/batio3c.cif
BGMN	BGMN/BATIO3H.cif	BATIO3H.cif	BATIO3H	BaTiO3_hex	BaTiO3_hex			?	batio3h | batio3_hex | batio3_hex | ? | bgmn | bgmn/batio3h.cif
BGMN	BGMN/Batio3t.cif	Batio3t.cif	Batio3t	BaTiO3_tet	BaTiO3_tet			?	batio3t | batio3_tet | batio3_tet | ? | bgmn | bgmn/batio3t.cif
BGMN	BGMN/Bayerite.cif	Bayerite.cif	Bayerite	bayerite	bayerite			?	bayerite | bayerite | bayerite | ? | bgmn | bgmn/bayerite.cif
BGMN	BGMN/Berthierite.cif	Berthierite.cif	Berthierite	Berthierite	Berthierite			?	berthierite | berthierite | berthierite | ? | bgmn | bgmn/berthierite.cif
BGMN	BGMN/BERYL.cif	BERYL.cif	BERYL	Beryl	Beryl			?	beryl | beryl | beryl | ? | bgmn | bgmn/beryl.cif
BGMN	BGMN/BEUDANTI.cif	BEUDANTI.cif	BEUDANTI	Beudantite	Beudantite			?	beudanti | beudantite | beudantite | ? | bgmn | bgmn/beudanti.cif
BGMN	BGMN/Biotite1M.cif	Biotite1M.cif	Biotite1M	Biotite_M	Biotite_M			?	biotite1m | biotite_m | biotite_m | ? | bgmn | bgmn/biotite1m.cif
BGMN	BGMN/Biotite1mf.cif	Biotite1mf.cif	Biotite1mf	Biotite1mf	Biotite1mf			?	biotite1mf | biotite1mf | biotite1mf | ? | bgmn | bgmn/biotite1mf.cif
BGMN	BGMN/Bixbyite.cif	Bixbyite.cif	Bixbyite	Bixbyite	Bixbyite			?	bixbyite | bixbyite | bixbyite | ? | bgmn | bgmn/bixbyite.cif
BGMN	BGMN/Bloedite.cif	Bloedite.cif	Bloedite	Bloedite	Bloedite			?	bloedite | bloedite | bloedite | ? | bgmn | bgmn/bloedite.cif
BGMN	BGMN/Boehmite.cif	Boehmite.cif	Boehmite	Boehmite	Boehmite			?	boehmite | boehmite | boehmite | ? | bgmn | bgmn/boehmite.cif
BGMN	BGMN/Bonattite.cif	Bonattite.cif	Bonattite	Bonattite	Bonattite			?	bonattite | bonattite | bonattite | ? | bgmn | bgmn/bonattite.cif
BGMN	BGMN/BORNITE.cif	BORNITE.cif	BORNITE	Bornite	Bornite			?	bornite | bornite | bornite | ? | bgmn | bgmn/bornite.cif
BGMN	BGMN/Braunite.cif	Braunite.cif	Braunite	Braunite	Braunite			?	braunite | braunite | braunite | ? | bgmn | bgmn/braunite.cif
BGMN	BGMN/BREDIGIT.cif	BREDIGIT.cif	BREDIGIT	Bredigite	Bredigite			?	bredigit | bredigite | bredigite | ? | bgmn | bgmn/bredigit.cif
BGMN	BGMN/BROOKITE.cif	BROOKITE.cif	BROOKITE	Brookite	Brookite			?	brookite | brookite | brookite | ? | bgmn | bgmn/brookite.cif
BGMN	BGMN/BROWNMG.cif	BROWNMG.cif	BROWNMG	Brownmillerite_Si_Mg	Brownmillerite(Si,Mg)			?	brownmg | brownmillerite_si_mg | brownmillerite(si,mg) | ? | bgmn | bgmn/brownmg.cif
BGMN	BGMN/BRUCITE.cif	BRUCITE.cif	BRUCITE	BRUCITE	BRUCITE			?	brucite | brucite | brucite | ? | bgmn | bgmn/brucite.cif
BGMN	BGMN/Brushite.cif	Brushite.cif	Brushite	Brushite	Brushite			?	brushite | brushite | brushite | ? | bgmn | bgmn/brushite.cif
BGMN	BGMN/C2f.cif	C2f.cif	C2f	C2F	C2F			?	c2f | c2f | c2f | ? | bgmn | bgmn/c2f.cif
BGMN	BGMN/C2SAMU.cif	C2SAMU.cif	C2SAMU	C2S_alpha_Mumme	C2S_alpha_Mumme			?	c2samu | c2s_alpha_mumme | c2s_alpha_mumme | ? | bgmn | bgmn/c2samu.cif
BGMN	BGMN/C2SBMU.cif	C2SBMU.cif	C2SBMU	C2S_beta_Mumme	C2S_beta_Mumme			?	c2sbmu | c2s_beta_mumme | c2s_beta_mumme | ? | bgmn | bgmn/c2sbmu.cif
BGMN	BGMN/C2SGAMU.cif	C2SGAMU.cif	C2SGAMU	C2S_gamma_Mumme	C2S_gamma_Mumme			?	c2sgamu | c2s_gamma_mumme | c2s_gamma_mumme | ? | bgmn | bgmn/c2sgamu.cif
BGMN	BGMN/C2sh.cif	C2sh.cif	C2sh	C2SH_Hillebrandite	C2SH_Hillebrandite			?	c2sh | c2sh_hillebrandite | c2sh_hillebrandite | ? | bgmn | bgmn/c2sh.cif
BGMN	BGMN/C2shalpha.cif	C2shalpha.cif	C2shalpha	C2SH_alpha	C2SH_alpha			?	c2shalpha | c2sh_alpha | c2sh_alpha | ? | bgmn | bgmn/c2shalpha.cif
BGMN	BGMN/C3ACUB.cif	C3ACUB.cif	C3ACUB	C3Acub	C3Acub			?	c3acub | c3acub | c3acub | ? | bgmn | bgmn/c3acub.cif
BGMN	BGMN/C3anacu.cif	C3anacu.cif	C3anacu	C3A_Na_cubic	C3A_Na_cubic			?	c3anacu | c3a_na_cubic | c3a_na_cubic | ? | bgmn | bgmn/c3anacu.cif
BGMN	BGMN/C3anaort.cif	C3anaort.cif	C3anaort	C3A_Na_orthorhombic	C3A_Na_orthorhombic			?	c3anaort | c3a_na_orthorhombic | c3a_na_orthorhombic | ? | bgmn | bgmn/c3anaort.cif
BGMN	BGMN/C3s2h3.cif	C3s2h3.cif	C3s2h3	C3S2H3_Afwillite	C3S2H3_Afwillite			?	c3s2h3 | c3s2h3_afwillite | c3s2h3_afwillite | ? | bgmn | bgmn/c3s2h3.cif
BGMN	BGMN/C3s3h.cif	C3s3h.cif	C3s3h	C3S3H_Rosenhahnite	C3S3H_Rosenhahnite			?	c3s3h | c3s3h_rosenhahnite | c3s3h_rosenhahnite | ? | bgmn | bgmn/c3s3h.cif
BGMN	BGMN/C3SCMNIS.cif	C3SCMNIS.cif	C3SCMNIS	C3S_CM_Nishi	C3S_CM_Nishi			?	c3scmnis | c3s_cm_nishi | c3s_cm_nishi | ? | bgmn | bgmn/c3scmnis.cif
BGMN	BGMN/C3SMUMME.cif	C3SMUMME.cif	C3SMUMME	C3S_mkl_Mumme	C3S_mkl_Mumme			?	c3smumme | c3s_mkl_mumme | c3s_mkl_mumme | ? | bgmn | bgmn/c3smumme.cif
BGMN	BGMN/C3SR3MIL.cif	C3SR3MIL.cif	C3SR3MIL	C3S_r3m_Illnetz	C3S_r3m_Illnetz			?	c3sr3mil | c3s_r3m_illnetz | c3s_r3m_illnetz | ? | bgmn | bgmn/c3sr3mil.cif
BGMN	BGMN/C3SR3MNI.cif	C3SR3MNI.cif	C3SR3MNI	C3S_r3m_Nishi	C3S_r3m_Nishi			?	c3sr3mni | c3s_r3m_nishi | c3s_r3m_nishi | ? | bgmn | bgmn/c3sr3mni.cif
BGMN	BGMN/C3SRHJEF.cif	C3SRHJEF.cif	C3SRHJEF	C3S_rh_Jeffrey	C3S_rh_Jeffrey			?	c3srhjef | c3s_rh_jeffrey | c3s_rh_jeffrey | ? | bgmn | bgmn/c3srhjef.cif
BGMN	BGMN/C3STBEL.cif	C3STBEL.cif	C3STBEL	C3S_trkl_Belov	C3S_trkl_Belov			?	c3stbel | c3s_trkl_belov | c3s_trkl_belov | ? | bgmn | bgmn/c3stbel.cif
BGMN	BGMN/C4af.cif	C4af.cif	C4af	C4AF	C4AF			?	c4af | c4af | c4af | ? | bgmn | bgmn/c4af.cif
BGMN	BGMN/C6S3H.cif	C6S3H.cif	C6S3H	C6S3H_gamma_Dellaite	C6S3H_gamma_Dellaite			?	c6s3h | c6s3h_gamma_dellaite | c6s3h_gamma_dellaite | ? | bgmn | bgmn/c6s3h.cif
BGMN	BGMN/CA.cif	CA.cif	CA	CA	CA			?	ca | ca | ca | ? | bgmn | bgmn/ca.cif
BGMN	BGMN/CA2.cif	CA2.cif	CA2	CA2_Grossite	CA2_Grossite			?	ca2 | ca2_grossite | ca2_grossite | ? | bgmn | bgmn/ca2.cif
BGMN	BGMN/Ca2fe2o5.cif	Ca2fe2o5.cif	Ca2fe2o5	Ca2fe2o5	Ca2fe2o5			?	ca2fe2o5 | ca2fe2o5 | ca2fe2o5 | ? | bgmn | bgmn/ca2fe2o5.cif
BGMN	BGMN/Ca4al6o12so4.cif	Ca4al6o12so4.cif	Ca4al6o12so4	Ca4Al6O12so4	Ca4Al6O12so4			?	ca4al6o12so4 | ca4al6o12so4 | ca4al6o12so4 | ? | bgmn | bgmn/ca4al6o12so4.cif
BGMN	BGMN/Ca6.cif	Ca6.cif	Ca6	CA6_Hibonite	CA6_Hibonite			?	ca6 | ca6_hibonite | ca6_hibonite | ? | bgmn | bgmn/ca6.cif
BGMN	BGMN/CAFE2O4.cif	CAFE2O4.cif	CAFE2O4	CaFe2O4	CaFe2O4			?	cafe2o4 | cafe2o4 | cafe2o4 | ? | bgmn | bgmn/cafe2o4.cif
BGMN	BGMN/Calcite.cif	Calcite.cif	Calcite	Calcite	Calcite			?	calcite | calcite | calcite | ? | bgmn | bgmn/calcite.cif
BGMN	BGMN/CalcitMg.cif	CalcitMg.cif	CalcitMg	CalcitMg	CalcitMg			?	calcitmg | calcitmg | calcitmg | ? | bgmn | bgmn/calcitmg.cif
BGMN	BGMN/CaO.cif	CaO.cif	CaO	CaO	CaO			?	cao | cao | cao | ? | bgmn | bgmn/cao.cif
BGMN	BGMN/Carnallite.cif	Carnallite.cif	Carnallite	Carnallite	Carnallite			?	carnallite | carnallite | carnallite | ? | bgmn | bgmn/carnallite.cif
BGMN	BGMN/Cassiterite.cif	Cassiterite.cif	Cassiterite	Cassiterite	Cassiterite			?	cassiterite | cassiterite | cassiterite | ? | bgmn | bgmn/cassiterite.cif
BGMN	BGMN/CELESTIN.cif	CELESTIN.cif	CELESTIN	Celestine	Celestine			?	celestin | celestine | celestine | ? | bgmn | bgmn/celestin.cif
BGMN	BGMN/Cementite.cif	Cementite.cif	Cementite	Cementite	Cementite			?	cementite | cementite | cementite | ? | bgmn | bgmn/cementite.cif
BGMN	BGMN/CERIANIT.cif	CERIANIT.cif	CERIANIT	Cerianite	Cerianite			?	cerianit | cerianite | cerianite | ? | bgmn | bgmn/cerianit.cif
BGMN	BGMN/Cerussite.cif	Cerussite.cif	Cerussite	CERUSSITE	CERUSSITE			?	cerussite | cerussite | cerussite | ? | bgmn | bgmn/cerussite.cif
BGMN	BGMN/CF.cif	CF.cif	CF	CF	CF			?	cf | cf | cf | ? | bgmn | bgmn/cf.cif
BGMN	BGMN/CFS.cif	CFS.cif	CFS	CFS_Kirschsteinite	CFS_Kirschsteinite			?	cfs | cfs_kirschsteinite | cfs_kirschsteinite | ? | bgmn | bgmn/cfs.cif
BGMN	BGMN/Chabazite.cif	Chabazite.cif	Chabazite	Chabazite	Chabazite			?	chabazite | chabazite | chabazite | ? | bgmn | bgmn/chabazite.cif
BGMN	BGMN/Chalcanthite.cif	Chalcanthite.cif	Chalcanthite	Chalcanthite	Chalcanthite			?	chalcanthite | chalcanthite | chalcanthite | ? | bgmn | bgmn/chalcanthite.cif
